组合,项数,出现篮数,支持度,总效用,篮均效用,效用占比
根茎+花果,2,926,0.1189,10051.79,10.86,0.0236
叶菜+根茎,2,761,0.0977,8024.98,10.55,0.0188
根茎+鲜猪肉,2,315,0.0405,7056.84,22.4,0.0166
叶菜+根茎+花果,3,408,0.0524,6198.09,15.19,0.0146
叶菜+花果,2,733,0.0941,5894.25,8.04,0.0138
花果+鲜猪肉,2,284,0.0365,5848.54,20.59,0.0137
根茎+花果+鲜猪肉,3,184,0.0236,5065.68,27.53,0.0119
叶菜+鲜猪肉,2,217,0.0279,5026.97,23.17,0.0118
新鲜蛋品+根茎,2,273,0.0351,4612.9,16.9,0.0108
其它水果+根茎,2,207,0.0266,4569.38,22.07,0.0107
根茎+菌菇类,2,342,0.0439,4356.31,12.74,0.0102
叶菜+根茎+鲜猪肉,3,133,0.0171,4326.84,32.53,0.0102
新鲜蛋品+花果,2,298,0.0383,4302.05,14.44,0.0101
花果+菌菇类,2,360,0.0462,3940.34,10.95,0.0093
其它水果+花果,2,205,0.0263,3883.7,18.94,0.0091
根茎+花果+菌菇类,3,214,0.0275,3736.4,17.46,0.0088
叶菜+花果+鲜猪肉,3,117,0.015,3690.54,31.54,0.0087
叶菜+新鲜蛋品,2,236,0.0303,3272.94,13.87,0.0077
新鲜蛋品+根茎+花果,3,151,0.0194,3221.58,21.33,0.0076
叶菜+菌菇类,2,321,0.0412,3186.94,9.93,0.0075
其它水果+叶菜,2,167,0.0214,3111.16,18.63,0.0073
叶菜+根茎+菌菇类,3,178,0.0229,3076.28,17.28,0.0072
猪骨+鲜猪肉,2,41,0.0053,2782.53,67.87,0.0065
叶菜+新鲜蛋品+根茎,3,127,0.0163,2742.93,21.6,0.0064
叶菜+花果+菌菇类,3,172,0.0221,2716.43,15.79,0.0064
根茎+进口水果,2,106,0.0136,2659.88,25.09,0.0062
其它水果+根茎+花果,3,103,0.0132,2650.64,25.73,0.0062
菌菇类+鲜猪肉,2,108,0.0139,2629.36,24.35,0.0062
根茎+鲜调味,2,273,0.0351,2542.08,9.31,0.006
苹果类+进口水果,2,55,0.0071,2539.11,46.17,0.006
花果+苹果类,2,88,0.0113,2533.32,28.79,0.0059
鲜猪肉+鲜调味,2,115,0.0148,2528.28,21.99,0.0059
根茎+苹果类,2,98,0.0126,2447.82,24.98,0.0057
柑桔柚类+苹果类,2,72,0.0092,2442.25,33.92,0.0057
猪骨+花果,2,55,0.0071,2419.55,43.99,0.0057
其它水果+苹果类,2,68,0.0087,2409.65,35.44,0.0057
苹果类+蕉类,2,72,0.0092,2370.78,32.93,0.0056
根茎+花果+鲜调味,3,160,0.0205,2359.48,14.75,0.0055
叶菜+新鲜蛋品+花果,3,127,0.0163,2347.91,18.49,0.0055
花果+进口水果,2,95,0.0122,2345.0,24.68,0.0055
